Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Allow customer reviews?","Regular price",Categories,Tags,Images,Parent,Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: _virtual","Meta: bville_id"
simple,BVL-CHEESESTEAK-CHICKEN,"Chicken Cheesesteak",1,0,visible,"Thinly sliced chicken breast, sautéed mushrooms, peppers, onions & American cheese","Thinly sliced chicken breast, sautéed mushrooms, peppers, onions & American cheese",taxable,,1,,0,0,0,9.95,Cheesesteak,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/cheesesteak-chicken.jpg,,47,,,,,yes,cheesesteak-chicken
simple,BVL-SANDWICHES-CHICKEN-PARM,"Chicken Parmesan",1,0,visible,"Try it with pink vodka sauce +1","Try it with pink vodka sauce +1",taxable,,1,,0,0,0,10.95,Sandwiches,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/sandwiches-chicken-parm.jpg,,48,,,,,yes,sandwiches-chicken-parm
simple,BVL-SANDWICHES-MEATBALL-PARM,"Meatball Parmesan",1,0,visible,,,taxable,,1,,0,0,0,10.95,Sandwiches,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/sandwiches-meatball-parm.jpg,,49,,,,,yes,sandwiches-meatball-parm
simple,BVL-SANDWICHES-FRIED-CHICKEN,"Buttermilk Fried Chicken Sandwich",1,0,visible,"With lettuce, tomato & onion","With lettuce, tomato & onion",taxable,,1,,0,0,0,10.95,Sandwiches,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/sandwiches-fried-chicken.jpg,,50,,,,,yes,sandwiches-fried-chicken
simple,BVL-SANDWICHES-GRILLED-CHICKEN,"Grilled Chicken",1,0,visible,"Lettuce, tomato & mayo","Lettuce, tomato & mayo",taxable,,1,,0,0,0,9.95,Sandwiches,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/sandwiches-grilled-chicken.jpg,,51,,,,,yes,sandwiches-grilled-chicken
simple,BVL-SANDWICHES-REUBEN,"Pastrami Reuben",1,0,visible,"Sliced pastrami, sauerkraut, Russian dressing & Swiss cheese on rye toast","Sliced pastrami, sauerkraut, Russian dressing & Swiss cheese on rye toast",taxable,,1,,0,0,0,10.95,Sandwiches,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/sandwiches-reuben.jpg,,52,,,,,yes,sandwiches-reuben
simple,BVL-SANDWICHES-BUFFALO-CHICKEN,"Buffalo Chicken",1,0,visible,"Lettuce, tomato & blue cheese","Lettuce, tomato & blue cheese",taxable,,1,,0,0,0,10.95,Sandwiches,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/sandwiches-buffalo-chicken.jpg,,53,,,,,yes,sandwiches-buffalo-chicken
simple,BVL-SANDWICHES-ITALIAN-HOT-DOG,"Italian Hot Dog",1,0,visible,"Sliced hot dog, potatoes, peppers, onions","Sliced hot dog, potatoes, peppers, onions",taxable,,1,,0,0,0,9.95,Sandwiches,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/sandwiches-italian-hot-dog.jpg,,54,,,,,yes,sandwiches-italian-hot-dog
simple,BVL-SANDWICHES-HOT-PASTRAMI,"Hot Pastrami",1,0,visible,"Sliced pastrami, Swiss cheese & mustard on rye bread","Sliced pastrami, Swiss cheese & mustard on rye bread",taxable,,1,,0,0,0,10.95,Sandwiches,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/sandwiches-hot-pastrami.jpg,,55,,,,,yes,sandwiches-hot-pastrami
simple,BVL-SANDWICHES-TUNA-MELT,"Tuna Melt",1,0,visible,"Solid white tuna with mayo & melted American cheese, served on white toast","Solid white tuna with mayo & melted American cheese, served on white toast",taxable,,1,,0,0,0,9.95,Sandwiches,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/sandwiches-tuna-melt.jpg,,56,,,,,yes,sandwiches-tuna-melt
