ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default"
36,simple,BVL-WRAPS-FALAFEL,Falafel,1,0,visible,"Lettuce, tomato, tahini & hummus on pita wrap","Lettuce, tomato, tahini & hummus on pita wrap",taxable,,1,,,,,,,,,1,,,8.95,"Wrap & Roll",,,assets/photos/menu/wraps-falafel.jpg,,,,,,,,,35
37,simple,BVL-WRAPS-KEBAB,Kebab,1,0,visible,"Chicken with lettuce, tomato & onion, garlic sauce on pita wrap","Chicken with lettuce, tomato & onion, garlic sauce on pita wrap",taxable,,1,,,,,,,,,1,,,9.95,"Wrap & Roll",,,assets/photos/menu/wraps-kebab.jpg,,,,,,,,,36
38,simple,BVL-WRAPS-MILANESE,"Chicken Milanese",1,0,visible,"Breaded chicken, mozzarella cheese, arugula, roasted red peppers, red onions with balsamic vinaigrette","Breaded chicken, mozzarella cheese, arugula, roasted red peppers, red onions with balsamic vinaigrette",taxable,,1,,,,,,,,,1,,,9.95,"Wrap & Roll",,,assets/photos/menu/wraps-milanese.jpg,,,,,,,,,37
39,simple,BVL-WRAPS-HONEY-CHICKEN,"Honey Chicken",1,0,visible,"Breaded chicken, lettuce, tomato & crispy bacon with honey mustard","Breaded chicken, lettuce, tomato & crispy bacon with honey mustard",taxable,,1,,,,,,,,,1,,,9.95,"Wrap & Roll",,,assets/photos/menu/wraps-honey-chicken.jpg,,,,,,,,,38
40,simple,BVL-PASTA-PENNE-VODKA,"Penne Alla Vodka",1,0,visible,"Penne pasta tossed in a creamy pink sauce (try it spicy)","Penne pasta tossed in a creamy pink sauce (try it spicy)",taxable,,1,,,,,,,,,1,,,13.95,Pastabilities,,,assets/photos/menu/pasta-penne-vodka.jpg,,,,,,,,,39
41,simple,BVL-PASTA-BOLOGNESE,"Pasta Bolognese",1,0,visible,"Diced onions, fresh garlic & ground beef, sautéed then cooked in our homemade marinara sauce & touch of cream","Diced onions, fresh garlic & ground beef, sautéed then cooked in our homemade marinara sauce & touch of cream",taxable,,1,,,,,,,,,1,,,15.95,Pastabilities,,,assets/photos/menu/pasta-bolognese.jpg,,,,,,,,,40
42,simple,BVL-PASTA-MARINARA,"Pasta Marinara",1,0,visible,"Penne pasta with our homemade marinara sauce","Penne pasta with our homemade marinara sauce",taxable,,1,,,,,,,,,1,,,9.95,Pastabilities,,,assets/photos/menu/pasta-marinara.jpg,,,,,,,,,41
43,simple,BVL-PASTA-CAJUN-ALFREDO,"Cajun Alfredo",1,0,visible,"Roasted red peppers and bacon sautéed then tossed in a creamy alfredo sauce","Roasted red peppers and bacon sautéed then tossed in a creamy alfredo sauce",taxable,,1,,,,,,,,,1,,,14.95,Pastabilities,,,assets/photos/menu/pasta-cajun-alfredo.jpg,,,,,,,,,42
44,simple,BVL-PASTA-TORTELLINI-LEO,"Tortellini Leo",1,0,visible,"Tricolor cheese tortellini pasta, sun-dried tomatoes, fresh spinach & fresh garlic sautéed in creamy pink vodka sauce topped with pecorino cheese","Tricolor cheese tortellini pasta, sun-dried tomatoes, fresh spinach & fresh garlic sautéed in creamy pink vodka sauce topped with pecorino cheese",taxable,,1,,,,,,,,,1,,,14.95,Pastabilities,,,assets/photos/menu/pasta-tortellini-leo.jpg,,,,,,,,,43
45,simple,BVL-CHEESESTEAK-PHILLY,"Philly Cheesesteak",1,0,visible,"Shredded steak, onions, peppers with American cheese","Shredded steak, onions, peppers with American cheese",taxable,,1,,,,,,,,,1,,,9.95,Cheesesteak,,,assets/photos/menu/cheesesteak-philly.jpg,,,,,,,,,44
46,simple,BVL-CHEESESTEAK-JERSEY,"Jersey Cheesesteak",1,0,visible,"With brown gravy potatoes & mozzarella cheese","With brown gravy potatoes & mozzarella cheese",taxable,,1,,,,,,,,,1,,,10.95,Cheesesteak,,,assets/photos/menu/cheesesteak-jersey.jpg,,,,,,,,,45
47,simple,BVL-CHEESESTEAK-CALIFORNIA,"California Cheesesteak",1,0,visible,"With lettuce, tomato, mayonnaise & American cheese","With lettuce, tomato, mayonnaise & American cheese",taxable,,1,,,,,,,,,1,,,10.95,Cheesesteak,,,assets/photos/menu/cheesesteak-california.jpg,,,,,,,,,46
48,simple,BVL-CHEESESTEAK-CHICKEN,"Chicken Cheesesteak",1,0,visible,"Thinly sliced chicken breast, sautéed mushrooms, peppers, onions & American cheese","Thinly sliced chicken breast, sautéed mushrooms, peppers, onions & American cheese",taxable,,1,,,,,,,,,1,,,9.95,Cheesesteak,,,assets/photos/menu/cheesesteak-chicken.jpg,,,,,,,,,47
49,simple,BVL-SANDWICHES-CHICKEN-PARM,"Chicken Parmesan",1,0,visible,"Try it with pink vodka sauce +1","Try it with pink vodka sauce +1",taxable,,1,,,,,,,,,1,,,10.95,Sandwiches,,,assets/photos/menu/sandwiches-chicken-parm.jpg,,,,,,,,,48
50,simple,BVL-SANDWICHES-MEATBALL-PARM,"Meatball Parmesan",1,0,visible,,,taxable,,1,,,,,,,,,1,,,10.95,Sandwiches,,,assets/photos/menu/sandwiches-meatball-parm.jpg,,,,,,,,,49
51,simple,BVL-SANDWICHES-FRIED-CHICKEN,"Buttermilk Fried Chicken Sandwich",1,0,visible,"With lettuce, tomato & onion","With lettuce, tomato & onion",taxable,,1,,,,,,,,,1,,,10.95,Sandwiches,,,assets/photos/menu/sandwiches-fried-chicken.jpg,,,,,,,,,50
52,simple,BVL-SANDWICHES-GRILLED-CHICKEN,"Grilled Chicken",1,0,visible,"Lettuce, tomato & mayo","Lettuce, tomato & mayo",taxable,,1,,,,,,,,,1,,,9.95,Sandwiches,,,assets/photos/menu/sandwiches-grilled-chicken.jpg,,,,,,,,,51
53,simple,BVL-SANDWICHES-REUBEN,"Pastrami Reuben",1,0,visible,"Sliced pastrami, sauerkraut, Russian dressing & Swiss cheese on rye toast","Sliced pastrami, sauerkraut, Russian dressing & Swiss cheese on rye toast",taxable,,1,,,,,,,,,1,,,10.95,Sandwiches,,,assets/photos/menu/sandwiches-reuben.jpg,,,,,,,,,52
54,simple,BVL-SANDWICHES-BUFFALO-CHICKEN,"Buffalo Chicken",1,0,visible,"Lettuce, tomato & blue cheese","Lettuce, tomato & blue cheese",taxable,,1,,,,,,,,,1,,,10.95,Sandwiches,,,assets/photos/menu/sandwiches-buffalo-chicken.jpg,,,,,,,,,53
55,simple,BVL-SANDWICHES-ITALIAN-HOT-DOG,"Italian Hot Dog",1,0,visible,"Sliced hot dog, potatoes, peppers, onions","Sliced hot dog, potatoes, peppers, onions",taxable,,1,,,,,,,,,1,,,9.95,Sandwiches,,,assets/photos/menu/sandwiches-italian-hot-dog.jpg,,,,,,,,,54
56,simple,BVL-SANDWICHES-HOT-PASTRAMI,"Hot Pastrami",1,0,visible,"Sliced pastrami, Swiss cheese & mustard on rye bread","Sliced pastrami, Swiss cheese & mustard on rye bread",taxable,,1,,,,,,,,,1,,,10.95,Sandwiches,,,assets/photos/menu/sandwiches-hot-pastrami.jpg,,,,,,,,,55
57,simple,BVL-SANDWICHES-TUNA-MELT,"Tuna Melt",1,0,visible,"Solid white tuna with mayo & melted American cheese, served on white toast","Solid white tuna with mayo & melted American cheese, served on white toast",taxable,,1,,,,,,,,,1,,,9.95,Sandwiches,,,assets/photos/menu/sandwiches-tuna-melt.jpg,,,,,,,,,56
